"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 0.000000000000000e+00, 0.000000000000000e+00, 1.012021303553139e+00, 0.000000000000000e+00, 0.000000000000000e+00, 7.619324927205648e+00
1, 1.000373964492610e+00, 1.529959332226534e-03, 8.988529523908899e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.715986176279348e+00
6, -2.271168680711112e-03, 4.441539299526119e-03, 1.072804427201051e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.078668167223281e+00
7, -3.433976354078906e-03, 9.292253626509383e-03, 1.129903138509984e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.536496262801624e+00
8, -3.599965845766824e-03, 1.428133032276952e-02, 1.144840381446868e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.675894212617699e+00
9, -2.978781877200114e-03, 1.923713918487876e-02, 1.156173777319564e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.755171982103866e+00
10, -1.763546142026878e-03, 2.408329280209813e-02, 1.162386000209232e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.800954420750148e+00
11, -9.861200689715662e-05, 2.879485744845244e-02, 1.154137016160171e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.732789185647507e+00
12, 1.914313366286153e-03, 3.336914424821129e-02, 1.147077362151042e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.672222883971600e+00
13, 4.203821634170210e-03, 3.781179277200471e-02, 1.132645204574863e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.558323434175998e+00
14, 6.719505836771411e-03, 4.213060984583412e-02, 1.129098352951271e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.524885757259959e+00
15, 9.424355629148054e-03, 4.633367394415974e-02, 1.116468619628715e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.425490204044928e+00
16, 1.229018468599803e-02, 5.042874337110755e-02, 1.108048831699573e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.353588305568131e+00
17, 1.529542601391168e-02, 5.442271076593388e-02, 1.094268043583071e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.247999957936933e+00
18, 1.842477851137560e-02, 5.832025171523481e-02, 1.090380450574845e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.212386387319611e+00
19, 2.166392177128019e-02, 6.212705838543529e-02, 1.082333787291847e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.150638645458388e+00
20, 2.500235653079726e-02, 6.584714237455241e-02, 1.072654761077879e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.074001646274883e+00
21, 2.843214230250345e-02, 6.948318398330809e-02, 1.063756845717024e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.004759526880603e+00
22, 3.194435925311135e-02, 7.303969203363299e-02, 1.054753033916904e+00, 0.000000000000000e+00, 0.000000000000000e+00, 7.933156233832724e+00
23, 3.553483695973304e-02, 7.651718930998473e-02, 1.046958122909430e+00, 0.000000000000000e+00, 0.000000000000000e+00, 7.869261747295569e+00
24, 3.919619396247667e-02, 7.991998872372910e-02, 1.039051642156247e+00, 0.000000000000000e+00, 0.000000000000000e+00, 7.806052985101885e+00
25, 4.292597933325136e-02, 8.324765894853947e-02, 1.028117463554276e+00, 0.000000000000000e+00, 0.000000000000000e+00, 7.719513252373175e+00
26, 4.671814122454002e-02, 8.650406991168463e-02, 1.020162058253594e+00, 0.000000000000000e+00, 0.000000000000000e+00, 7.654218157095794e+00
27, 5.057127103310362e-02, 8.968812103256288e-02, 1.013875947628436e+00, 0.000000000000000e+00, 0.000000000000000e+00, 7.602792674279932e+00
28, 5.448013527444706e-02, 9.280349848142699e-02, 1.002377761173482e+00, 0.000000000000000e+00, 0.000000000000000e+00, 7.507529335867325e+00
29, 5.844415539708683e-02, 9.584839455585717e-02, 9.924622713054518e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.436667114130732e+00
