"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 0.000000000000000e+00, 0.000000000000000e+00, 1.048643043587228e+00, 0.000000000000000e+00, 0.000000000000000e+00, 7.849815939406883e+00
1, 1.000328251414769e+00, 1.540414232829043e-03, 9.154791564677752e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.781133958576486e+00
6, -1.033972894578163e-03, 2.808784843743566e-03, 1.084810011924175e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.133531881509471e+00
7, -1.683668221316728e-03, 5.730487326118156e-03, 1.114265342454988e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.366569106509720e+00
8, -1.951536353435523e-03, 8.711796203520607e-03, 1.133300294582984e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.520005941890441e+00
9, -1.863287644383963e-03, 1.170417001917419e-02, 1.144314832665712e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.610186023431311e+00
10, -1.458424312472303e-03, 1.467070358718829e-02, 1.150556087497252e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.661988297614883e+00
11, -7.805980363713010e-04, 1.758731338402409e-02, 1.153642095986964e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.687955254758371e+00
12, 1.287934988827001e-04, 2.044046641659353e-02, 1.152779129108177e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.682607147255426e+00
13, 1.233554343954722e-03, 2.322399230851043e-02, 1.149503919722285e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.657865852705092e+00
14, 2.503386099726156e-03, 2.593633541388243e-02, 1.144158685039872e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.616638864498459e+00
15, 3.913429293305465e-03, 2.857860805607546e-02, 1.138431355665916e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.571882717269535e+00
16, 5.443483631189763e-03, 3.115332288024340e-02, 1.131951680145635e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.521130251619457e+00
17, 7.077120388969719e-03, 3.366364515921146e-02, 1.125277999595585e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.468652065778505e+00
18, 8.800946004495375e-03, 3.611297021453901e-02, 1.118155160488548e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.412683589499455e+00
19, 1.060395427929684e-02, 3.850463255790155e-02, 1.111481937560865e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.360001423931083e+00
20, 1.247705700020137e-02, 4.084183290323335e-02, 1.105414762117082e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.311675661207298e+00
21, 1.441267507229156e-02, 4.312754946354053e-02, 1.098420221324596e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.256401810294161e+00
22, 1.640444064476532e-02, 4.536452544049520e-02, 1.091950750525247e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.205195426339612e+00
23, 1.844696776519081e-02, 4.755526434279898e-02, 1.085986367840922e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.157888274479619e+00
24, 2.053566174536149e-02, 4.970204330425990e-02, 1.079724571106344e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.108408808787438e+00
25, 2.266656893476048e-02, 5.180693674191300e-02, 1.073515791325959e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.059248657698957e+00
26, 2.483626807205465e-02, 5.387183036613163e-02, 1.067835397897522e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.013967447602065e+00
27, 2.704179617720591e-02, 5.589841720336595e-02, 1.062515375802462e+00, 0.000000000000000e+00, 0.000000000000000e+00, 7.971696857771815e+00
28, 2.928053418107182e-02, 5.788825993402175e-02, 1.056503559599095e+00, 0.000000000000000e+00, 0.000000000000000e+00, 7.924556210208201e+00
29, 3.155019522297887e-02, 5.984276287067694e-02, 1.050687490531817e+00, 0.000000000000000e+00, 0.000000000000000e+00, 7.878859798598232e+00
30, 3.384874117743877e-02, 6.176321731796006e-02, 1.045965098754492e+00, 0.000000000000000e+00, 0.000000000000000e+00, 7.841381179362997e+00
31, 3.617436494273425e-02, 6.365079471750798e-02, 1.040723544936405e+00, 0.000000000000000e+00, 0.000000000000000e+00, 7.800054990985674e+00
32, 3.852544182199667e-02, 6.550657554347376e-02, 1.035656705586963e+00, 0.000000000000000e+00, 0.000000000000000e+00, 7.760000671682679e+00
33, 4.090052599579878e-02, 6.733153302460083e-02, 1.030432818524960e+00, 0.000000000000000e+00, 0.000000000000000e+00, 7.718837077927015e+00
34, 4.329829147803961e-02, 6.912658905961275e-02, 1.025653637088870e+00, 0.000000000000000e+00, 0.000000000000000e+00, 7.681077744355440e+00
35, 4.571755994313617e-02, 7.089255690254430e-02, 1.020937365261904e+00, 0.000000000000000e+00, 0.000000000000000e+00, 7.643858495279979e+00
36, 4.815724583385866e-02, 7.263021704406872e-02, 1.015849039488937e+00, 0.000000000000000e+00, 0.000000000000000e+00, 7.603892370631049e+00
37, 5.061635542205786e-02, 7.434027750613503e-02, 1.011219156270212e+00, 0.000000000000000e+00, 0.000000000000000e+00, 7.567392659929703e+00
38, 5.309399311340735e-02, 7.602338195429875e-02, 1.007070609178097e+00, 0.000000000000000e+00, 0.000000000000000e+00, 7.534644087360220e+00
39, 5.558932459370935e-02, 7.768014311036159e-02, 1.002615094803772e+00, 0.000000000000000e+00, 0.000000000000000e+00, 7.499908485862028e+00
40, 5.810157752983107e-02, 7.931113201693223e-02, 9.987523319686624e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.469364822808163e+00
41, 6.063004865020745e-02, 8.091686498650638e-02, 9.946498007476391e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.437066743875998e+00
42, 6.317408447928541e-02, 8.249782433762788e-02, 9.903898895443525e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.403620138757258e+00
43, 6.573307032035215e-02, 8.405446859978781e-02, 9.862947786598640e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.371122265772983e+00
44, 6.830643385855573e-02, 8.558722910275481e-02, 9.826030875417581e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.342017355773985e+00
45, 7.089364507179197e-02, 8.709649867206645e-02, 9.789322295529016e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.313438928281672e+00
46, 7.349420724207378e-02, 8.858264627349842e-02, 9.749806521218468e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.282672165538115e+00
47, 7.610765400689622e-02, 9.004601890649486e-02, 9.709522825283715e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.251240248356551e+00
48, 7.873354479752449e-02, 9.148694227896401e-02, 9.677630371937114e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.226299570390575e+00
49, 8.137146291050022e-02, 9.290572815706154e-02, 9.642505608217639e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.198978936815029e+00
50, 8.402101564885789e-02, 9.430266748990331e-02, 9.606248526594697e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.170211229571410e+00
51, 8.668183165291847e-02, 9.567803102141162e-02, 9.574033376620714e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.144839204115375e+00
52, 8.935356073575855e-02, 9.703207558238786e-02, 9.538522741035637e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.117301233431234e+00
53, 9.203586736250702e-02, 9.836504256950725e-02, 9.505394470656694e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.091496129799548e+00
54, 9.472843434056688e-02, 9.967716148851180e-02, 9.473441143239906e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.066581579132801e+00
55, 9.743095805886753e-02, 1.009686490674195e-01, 9.442745751943150e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.042572455942844e+00
56, 1.001431487142573e-01, 1.022397107612981e-01, 9.413186695226274e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.019464052438349e+00
57, 1.028647293412158e-01, 1.034905415269329e-01, 9.383310671379387e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.996133957051910e+00
58, 1.055954336613576e-01, 1.047213259708922e-01, 9.353345552977345e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.972602888019225e+00
59, 1.083350076439191e-01, 1.059322400984067e-01, 9.325722982374443e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.951050718642897e+00
