m,p,ld
0.000000000000000000e+00,2.000000000000000111e-01,2.636546641588211060e-02
7.563025210084033416e-04,2.000000000000000111e-01,4.176709428429603577e-02
1.512605042016806683e-03,2.000000000000000111e-01,5.702504888176918030e-02
2.268907563025209916e-03,2.000000000000000111e-01,7.187913358211517334e-02
3.025210084033613366e-03,2.000000000000000111e-01,8.628408610820770264e-02
3.781512605042016816e-03,2.000000000000000111e-01,1.006291508674621582e-01
4.537815126050419832e-03,2.000000000000000111e-01,1.141027063131332397e-01
5.294117647058823282e-03,2.000000000000000111e-01,1.268735080957412720e-01
6.050420168067226732e-03,2.000000000000000111e-01,1.394284069538116455e-01
6.806722689075630182e-03,2.000000000000000111e-01,1.515918821096420288e-01
7.563025210084033632e-03,2.000000000000000111e-01,1.636576205492019653e-01
8.319327731092436215e-03,2.000000000000000111e-01,1.758849918842315674e-01
9.075630252100839665e-03,2.000000000000000111e-01,1.882075071334838867e-01
9.831932773109243115e-03,2.000000000000000111e-01,2.004307657480239868e-01
1.058823529411764656e-02,2.000000000000000111e-01,2.126482725143432617e-01
1.134453781512605001e-02,2.000000000000000111e-01,2.247749418020248413e-01
1.210084033613445346e-02,2.000000000000000111e-01,2.369887679815292358e-01
1.285714285714285691e-02,2.000000000000000111e-01,2.493418753147125244e-01
1.361344537815126036e-02,2.000000000000000111e-01,2.618425786495208740e-01
1.436974789915966381e-02,2.000000000000000111e-01,2.742048799991607666e-01
1.512605042016806726e-02,2.000000000000000111e-01,2.859314680099487305e-01
1.588235294117646898e-02,2.000000000000000111e-01,2.984048426151275635e-01
1.663865546218487243e-02,2.000000000000000111e-01,3.108310401439666748e-01
1.739495798319327588e-02,2.000000000000000111e-01,3.230396211147308350e-01
1.815126050420167933e-02,2.000000000000000111e-01,3.347653150558471680e-01
1.890756302521008278e-02,2.000000000000000111e-01,3.461770713329315186e-01
1.966386554621848623e-02,2.000000000000000111e-01,3.571944236755371094e-01
2.042016806722688968e-02,2.000000000000000111e-01,3.675963282585144043e-01
2.117647058823529313e-02,2.000000000000000111e-01,3.772980868816375732e-01
2.193277310924369658e-02,2.000000000000000111e-01,3.866577446460723877e-01
2.268907563025210003e-02,2.000000000000000111e-01,3.952062129974365234e-01
2.344537815126050348e-02,2.000000000000000111e-01,4.033902287483215332e-01
2.420168067226890693e-02,2.000000000000000111e-01,4.112787246704101562e-01
2.495798319327731038e-02,2.000000000000000111e-01,4.185011088848114014e-01
2.571428571428571383e-02,2.000000000000000111e-01,4.260923564434051514e-01
2.647058823529411728e-02,2.000000000000000111e-01,4.338056147098541260e-01
2.722689075630252073e-02,2.000000000000000111e-01,4.409375488758087158e-01
2.798319327731092418e-02,2.000000000000000111e-01,4.480115175247192383e-01
2.873949579831932763e-02,2.000000000000000111e-01,4.549259543418884277e-01
2.949579831932773108e-02,2.000000000000000111e-01,4.614190161228179932e-01
3.025210084033613453e-02,2.000000000000000111e-01,4.674242436885833740e-01
3.100840336134453798e-02,2.000000000000000111e-01,4.754164814949035645e-01
3.176470588235293796e-02,2.000000000000000111e-01,4.812170565128326416e-01
3.252100840336134141e-02,2.000000000000000111e-01,4.867219328880310059e-01
3.327731092436974486e-02,2.000000000000000111e-01,4.920306205749511719e-01
3.403361344537814831e-02,2.000000000000000111e-01,4.971016943454742432e-01
3.478991596638655176e-02,2.000000000000000111e-01,5.020969510078430176e-01
3.554621848739495521e-02,2.000000000000000111e-01,5.070260763168334961e-01
3.630252100840335866e-02,2.000000000000000111e-01,5.115762352943420410e-01
3.705882352941176211e-02,2.000000000000000111e-01,5.161892175674438477e-01
3.781512605042016556e-02,2.000000000000000111e-01,5.205129981040954590e-01
3.857142857142856901e-02,2.000000000000000111e-01,5.247607827186584473e-01
3.932773109243697246e-02,2.000000000000000111e-01,5.286850333213806152e-01
4.008403361344537591e-02,2.000000000000000111e-01,5.322406888008117676e-01
4.084033613445377936e-02,2.000000000000000111e-01,5.358272194862365723e-01
4.159663865546218281e-02,2.000000000000000111e-01,5.395128726959228516e-01
4.235294117647058626e-02,2.000000000000000111e-01,5.432043075561523438e-01
4.310924369747898971e-02,2.000000000000000111e-01,5.471152663230895996e-01
4.386554621848739316e-02,2.000000000000000111e-01,5.503262281417846680e-01
4.462184873949579661e-02,2.000000000000000111e-01,5.535184741020202637e-01
4.537815126050420006e-02,2.000000000000000111e-01,5.569883584976196289e-01
4.613445378151260351e-02,2.000000000000000111e-01,5.602253675460815430e-01
